"244,242"	"708,383"	"204,356"	"262,786"	"194,334"					
"213,464"	"711,828"	"183,684"	"278,864"	"178,716"					
"250,673"	"709,302"	"183,684"	"282,309"	"178,716"					
"248,606"	"705,856"	"182,536"	"276,797"	"176,189"					
"249,755"	"711,828"	"185,292"	"278,864"	"181,242"					
"246,080"	"703,789"	"183,225"	"277,486"	"176,419"					
"248,606"	"704,708"	"182,766"	"278,864"	"179,175"					
"247,687"	"700,344"	"183,455"	"275,419"	"175,041"					
"250,214"	"702,641"	"185,292"	"274,730"	"175,959"					
"255,038"	"706,545"	"186,900"	"277,027"	"177,797"					
"250,214"	"707,005"	"186,211"	"275,878"	"178,486"					
"254,119"	"710,680"	"191,264"	"272,433"	"178,027"					
"256,875"	"712,747"	"190,805"	"272,662"	"177,567"					
"259,631"	"714,584"	"197,236"	"270,595"	"181,012"					
"262,847"	"718,030"	"196,087"	"269,217"	"175,500"					
"260,320"	"702,870"	"193,561"	"259,341"	"166,083"					
"254,808"	"669,566"	"179,091"	"237,980"	"144,492"					
"234,595"	"624,087"	"158,419"	"217,767"	"123,820"					
"209,100"	"572,867"	"140,503"	"198,933"	"116,700"					
"191,873"	"551,047"	"132,464"	"192,961"	"116,700"					
"180,389"	"563,680"	"135,450"	"201,459"	"130,022"					
"200,372"	"608,469"	"152,677"	"223,050"	"148,627"					
"221,733"	"659,230"	"170,133"	"246,248"	"165,623"					
"237,122"	"692,534"	"183,914"	"264,394"	"182,620"					
"243,553"	"700,803"	"190,575"	"270,825"	"183,998"					
"249,066"	"706,545"	"196,087"	"269,677"	"187,673"					
"248,836"	"709,072"	"198,614"	"264,164"	"190,889"					
"246,080"	"706,545"	"200,681"	"266,691"	"192,497"					
"245,161"	"707,005"	"200,911"	"267,150"	"194,794"					
"246,998"	"710,450"	"202,519"	"266,002"	"193,645"					
"246,309"	"709,761"	"205,045"	"265,083"	"197,780"					
"215,072"	"704,708"	"181,387"	"276,108"	"176,419"					
"249,295"	"708,842"	"182,306"	"280,472"	"178,486"					
"245,850"	"707,464"	"183,684"	"277,486"	"179,634"					
"247,687"	"711,139"	"184,603"	"279,323"	"179,864"					
"251,592"	"709,991"	"185,062"	"280,242"	"178,945"					
"248,836"	"709,072"	"183,225"	"278,634"	"177,797"					
"250,673"	"705,167"	"185,752"	"275,648"	"178,716"					
"247,917"	"701,722"	"184,144"	"269,906"	"175,959"					
"249,525"	"705,627"	"187,359"	"274,730"	"178,486"					
"255,727"	"708,612"	"189,656"	"273,122"	"178,486"					
"254,808"	"705,856"	"191,034"	"272,433"	"181,242"					
"253,200"	"705,397"	"193,102"	"269,906"	"179,864"					
"254,119"	"704,478"	"194,020"	"267,609"	"179,634"					
"257,105"	"702,181"	"194,250"	"263,475"	"173,203"					
"255,037"	"690,467"	"189,886"	"252,680"	"162,867"					
"244,702"	"658,081"	"174,037"	"233,845"	"145,641"					
"219,436"	"595,606"	"152,217"	"209,498"	"126,806"					
"195,319"	"562,761"	"138,206"	"197,555"	"121,064"					
"178,092"	"554,952"	"134,761"	"196,177"	"127,725"					
"186,820"	"587,108"	"144,408"	"214,322"	"142,884"					
"206,114"	"639,936"	"162,553"	"242,114"	"162,637"					
"225,408"	"681,509"	"175,416"	"260,719"	"178,486"					
"238,730"	"701,722"	"188,278"	"271,514"	"185,836"					
"242,634"	"710,680"	"191,264"	"273,581"	"189,741"					
"244,242"	"704,248"	"197,695"	"270,825"	"190,200"					
"242,175"	"700,803"	"195,858"	"269,217"	"189,970"					
"245,391"	"705,397"	"198,844"	"267,150"	"190,889"					
"244,012"	"707,234"	"201,600"	"267,380"	"193,416"					
"248,836"	"711,598"	"202,519"	"268,528"	"195,712"					
"239,878"	"701,262"	"201,830"	"264,394"	"195,483"					
"210,248"	"707,464"	"182,306"	"277,945"	"178,486"					
